Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2025-03-11 00:11:43,2025-03-11 22:34:21,UTC-04:00,84,52,153,33.80,96.50,5.3,1804,146,64,2025-03-11 00:11:43,2025-03-11 08:14:46,74,14.1,401,481,273,57,71,80,544,63,83,70
2025-03-10 00:07:45,2025-03-11 00:11:43,UTC-04:00,32,69,68,33.28,95.75,10.0,2237,150,71,2025-03-10 00:07:45,2025-03-10 07:59:46,77,16.0,429,471,254,46,129,42,556,51,91,53
2025-03-09 00:00:00,2025-03-09 23:07:45,UTC-05:00,,,,,,14.9,1763,152,116,,,,,,,,,,,,,,
2025-03-06 22:56:07,2025-03-07 22:56:07,UTC-05:00,67,50,116,33.46,96.90,7.7,2041,164,70,2025-03-06 22:56:07,2025-03-07 07:30:02,81,15.9,442,513,262,92,88,71,544,66,86,93
2025-03-05 22:45:02,2025-03-06 22:56:07,UTC-05:00,38,56,92,33.21,96.21,9.0,2150,160,67,2025-03-05 22:45:02,2025-03-06 07:29:46,81,16.2,447,524,276,71,100,77,550,70,87,87
2025-03-04 23:58:06,2025-03-05 22:45:02,UTC-05:00,87,53,142,33.19,97.67,9.4,2097,156,69,2025-03-04 23:58:06,2025-03-05 07:29:55,73,16.2,388,444,240,70,78,56,529,42,87,84
2025-03-03 23:01:55,2025-03-04 23:58:06,UTC-05:00,58,52,109,33.08,95.70,11.7,2404,164,70,2025-03-03 23:01:55,2025-03-04 07:29:58,87,16.1,458,507,282,75,101,49,524,36,90,86
2025-03-02 23:04:28,2025-03-03 23:01:55,UTC-05:00,95,49,148,33.20,97.60,11.7,2363,145,71,2025-03-02 23:04:28,2025-03-03 07:29:38,89,15.8,445,505,267,78,100,60,502,23,88,88
2025-03-01 23:51:12,2025-03-02 23:04:28,UTC-05:00,52,52,102,33.50,96.89,9.2,2095,147,68,2025-03-01 23:51:12,2025-03-02 08:29:50,93,15.7,473,517,267,72,134,44,508,14,91,87
2025-02-28 22:52:44,2025-03-01 23:51:12,UTC-05:00,77,49,126,33.30,98.13,13.2,2628,166,71,2025-02-28 22:52:44,2025-03-01 08:30:00,96,15.9,536,574,329,80,127,38,558,74,93,83
